status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit
A11,12,A32,A42,1289,A61,A73,4,male,A103,1,A122,young,A143,A152,1,A172,1,A191,A201,1
A14,18,A34,A46,1864,A62,A73,4,female,A101,2,A121,adult,A143,A152,2,A173,1,A191,A201,2
A12,48,A32,A42,9960,A61,A72,1,female,A101,2,A123,adult,A143,A152,1,A173,1,A192,A201,2
A11,18,A34,A40,5302,A61,A75,2,male,A101,4,A124,adult,A143,A153,3,A174,1,A192,A201,1
A11,6,A34,A42,1872,A61,A71,4,male,A101,4,A124,adult,A143,A153,3,A174,1,A192,A201,1
A11,24,A32,A43,2439,A61,A72,4,female,A101,4,A121,adult,A143,A152,1,A173,1,A192,A201,2
A14,9,A32,A42,1388,A61,A73,4,female,A101,2,A121,adult,A143,A151,1,A173,1,A191,A201,1
A12,48,A31,A40,12169,A65,A71,4,male,A102,4,A124,adult,A143,A153,1,A174,1,A192,A201,1
A14,18,A32,A40,2662,A65,A74,4,male,A101,3,A122,adult,A143,A152,1,A173,1,A191,A202,1
A14,13,A32,A43,1409,A62,A71,2,female,A101,4,A121,adult,A143,A152,1,A173,1,A191,A201,1
A11,15,A33,A42,3643,A61,A75,1,female,A101,4,A122,adult,A143,A152,2,A172,1,A191,A201,1
A11,48,A32,A43,6758,A61,A73,3,female,A101,2,A123,adult,A143,A152,1,A173,1,A192,A201,2
A14,24,A34,A43,1851,A61,A74,4,male,A103,2,A123,adult,A143,A152,2,A173,1,A192,A201,1
A11,27,A32,A43,3416,A61,A73,3,male,A101,2,A123,adult,A143,A152,1,A174,1,A191,A201,1
A14,27,A33,A49,5117,A61,A74,3,male,A101,4,A123,adult,A143,A152,2,A173,1,A191,A201,1
A14,10,A32,A40,1597,A63,A73,3,male,A101,2,A124,adult,A143,A151,1,A172,2,A191,A202,1
A14,6,A34,A43,1382,A61,A73,1,female,A101,1,A123,adult,A143,A152,2,A173,1,A192,A201,1
A14,10,A34,A40,1231,A61,A75,3,male,A101,4,A121,adult,A143,A152,2,A172,2,A191,A202,1
A12,15,A32,A40,2631,A62,A73,2,female,A101,4,A123,adult,A143,A151,2,A173,1,A192,A201,2
A12,30,A32,A40,2150,A61,A73,4,female,A103,2,A124,young,A141,A152,1,A173,1,A191,A201,2
A12,12,A32,A43,2930,A61,A74,2,female,A101,1,A121,adult,A143,A152,1,A173,1,A191,A201,1
A14,6,A34,A40,6761,A61,A74,1,male,A101,3,A124,adult,A143,A152,2,A174,2,A192,A201,1
A12,21,A34,A42,2745,A64,A74,3,male,A101,2,A123,adult,A143,A152,2,A173,1,A192,A201,1
A11,24,A31,A40,2325,A62,A74,2,male,A101,3,A123,adult,A141,A152,1,A173,1,A191,A201,1
A14,6,A30,A40,1204,A62,A73,4,male,A101,1,A124,adult,A141,A151,1,A173,1,A191,A202,1
A11,18,A34,A42,1049,A61,A72,4,female,A101,4,A122,young,A143,A151,1,A173,1,A191,A201,1
A14,12,A34,A49,2292,A61,A71,4,male,A101,2,A123,adult,A142,A152,2,A174,1,A192,A201,2
A14,9,A32,A49,1449,A61,A74,3,female,A101,2,A123,adult,A143,A152,2,A173,1,A191,A201,1
A11,18,A32,A41,7511,A65,A75,1,male,A101,4,A122,adult,A143,A153,1,A173,2,A192,A201,2
A12,9,A32,A42,918,A61,A73,4,female,A101,1,A122,adult,A143,A152,1,A173,1,A191,A201,2
A14,24,A34,A41,2346,A61,A74,4,male,A101,3,A123,adult,A143,A152,2,A173,1,A192,A201,1
A11,24,A32,A43,1603,A61,A75,4,female,A101,4,A123,adult,A143,A152,1,A173,1,A191,A201,1
A11,11,A34,A40,3905,A61,A73,2,male,A101,2,A121,adult,A143,A151,2,A173,2,A191,A201,1
A14,18,A32,A43,1126,A65,A72,4,female,A101,2,A121,young,A143,A151,1,A173,1,A192,A201,1
A13,21,A32,A40,2923,A62,A73,1,female,A101,1,A123,adult,A141,A152,1,A174,1,A192,A201,1
A12,9,A32,A40,3195,A65,A73,1,female,A101,2,A121,adult,A143,A152,1,A172,1,A191,A201,1
A11,6,A34,A40,4716,A65,A72,1,male,A101,3,A121,adult,A143,A152,2,A172,2,A191,A201,1
A12,6,A32,A40,14555,A65,A71,1,male,A101,2,A122,young,A143,A152,1,A171,1,A192,A201,2
A11,36,A32,A41,5493,A61,A75,2,male,A101,4,A124,adult,A143,A153,1,A173,2,A191,A201,1
A14,24,A34,A42,1585,A61,A74,4,male,A101,3,A122,adult,A143,A152,2,A173,1,A191,A201,1
A11,12,A32,A42,3590,A61,A73,2,male,A102,2,A122,adult,A143,A152,1,A172,2,A191,A201,1
A14,12,A30,A42,2759,A61,A75,2,male,A101,4,A122,adult,A143,A152,2,A173,1,A191,A201,1
A11,12,A34,A40,2122,A61,A73,3,male,A101,2,A121,adult,A143,A151,2,A172,2,A191,A202,1
A12,12,A32,A40,2002,A61,A74,3,male,A101,4,A122,adult,A143,A151,1,A173,2,A192,A201,1
A14,24,A32,A43,1901,A62,A73,4,male,A101,4,A123,adult,A143,A151,1,A174,1,A192,A201,1
A14,12,A32,A43,1493,A61,A72,4,female,A101,3,A123,adult,A143,A152,1,A173,2,A191,A201,1
A12,6,A33,A40,1209,A61,A71,4,male,A101,4,A122,adult,A143,A152,1,A174,1,A192,A201,2
A12,48,A32,A43,3979,A65,A74,4,male,A101,1,A123,adult,A143,A152,2,A173,2,A192,A201,1
A11,24,A32,A42,7721,A65,A72,1,female,A101,2,A122,adult,A143,A152,1,A173,1,A192,A202,1
A11,18,A32,A42,3650,A61,A72,1,female,A101,4,A123,young,A143,A151,1,A173,1,A191,A201,1
A11,18,A34,A43,1880,A61,A74,4,male,A101,1,A122,adult,A143,A152,2,A174,1,A192,A201,1
A12,18,A32,A49,1941,A64,A73,4,male,A101,2,A122,adult,A143,A152,1,A172,1,A192,A201,1
A14,15,A32,A44,874,A65,A72,4,female,A101,1,A121,young,A143,A152,1,A173,1,A191,A201,1
A14,27,A32,A45,5190,A65,A75,4,male,A101,4,A122,adult,A143,A152,4,A173,2,A192,A201,1
A14,36,A34,A41,10477,A65,A75,2,male,A101,4,A124,adult,A143,A153,2,A173,1,A191,A201,1
A12,24,A32,A42,4351,A65,A73,1,female,A101,4,A122,adult,A143,A152,1,A172,1,A192,A201,1
A14,24,A32,A43,1376,A63,A74,4,female,A101,1,A123,adult,A143,A152,1,A173,1,A191,A201,1
A12,30,A31,A42,3496,A64,A73,4,male,A101,2,A123,adult,A142,A152,1,A173,2,A192,A201,1
A11,40,A34,A46,5998,A61,A73,4,male,A101,3,A124,adult,A141,A152,1,A173,1,A192,A201,2
A11,28,A32,A40,4006,A61,A73,3,male,A101,2,A123,adult,A143,A152,1,A172,1,A191,A201,2
A14,36,A34,A43,3342,A65,A75,4,male,A101,2,A123,adult,A143,A152,1,A173,1,A192,A201,1
A12,18,A32,A49,2622,A62,A73,4,male,A101,4,A123,adult,A143,A152,1,A173,1,A191,A201,1
A12,36,A32,A45,2384,A61,A72,4,male,A101,1,A124,adult,A143,A151,1,A172,1,A191,A201,2
A11,24,A33,A43,1659,A61,A72,4,female,A101,2,A123,adult,A143,A151,1,A172,1,A192,A201,2
A14,24,A32,A41,3488,A62,A74,3,female,A101,4,A123,young,A143,A152,1,A173,1,A191,A201,1
A12,60,A33,A43,7418,A65,A73,1,male,A101,1,A121,adult,A143,A152,1,A172,1,A191,A201,1
A14,18,A34,A43,2238,A61,A73,2,female,A101,1,A123,adult,A143,A152,2,A173,1,A191,A201,1
A11,24,A33,A40,1333,A61,A71,4,male,A101,2,A121,adult,A143,A153,2,A173,2,A191,A201,2
A14,22,A32,A40,1283,A65,A74,4,female,A101,4,A122,adult,A143,A151,1,A173,1,A191,A201,1
A14,6,A32,A40,3518,A61,A73,2,male,A103,3,A122,adult,A143,A151,1,A173,1,A191,A201,1
A12,12,A33,A43,585,A61,A73,4,male,A102,4,A121,young,A143,A151,2,A173,1,A191,A201,1
A12,39,A34,A43,4933,A61,A74,2,male,A103,2,A121,adult,A143,A152,2,A173,1,A191,A201,2
A14,24,A32,A43,1278,A61,A75,4,male,A101,1,A121,adult,A143,A152,1,A174,1,A192,A201,1
A14,12,A32,A42,1768,A61,A73,3,male,A101,2,A121,young,A143,A151,1,A172,1,A191,A201,1
A11,24,A31,A42,3349,A63,A72,4,male,A101,4,A124,adult,A143,A153,1,A173,2,A192,A201,2
A12,9,A32,A49,1391,A61,A73,2,male,A101,1,A121,adult,A141,A152,1,A173,1,A192,A201,1
A14,18,A32,A42,3422,A61,A75,4,male,A101,4,A122,adult,A141,A152,3,A173,2,A192,A201,1
A14,10,A34,A42,2146,A61,A72,1,female,A101,3,A121,young,A143,A151,2,A173,1,A191,A201,1
A14,15,A34,A42,1520,A65,A75,4,male,A101,4,A122,adult,A143,A152,1,A173,1,A191,A201,1
A14,24,A34,A41,6842,A65,A73,2,male,A101,4,A122,adult,A143,A152,2,A174,2,A192,A201,1
A14,18,A32,A43,2051,A61,A72,4,male,A101,1,A121,adult,A143,A152,1,A173,1,A191,A201,1
A11,24,A32,A42,2996,A65,A73,2,male,A101,4,A123,young,A143,A152,1,A173,1,A191,A201,2
A11,24,A32,A43,3660,A61,A73,2,female,A101,4,A123,adult,A143,A152,1,A173,1,A191,A201,1
A11,24,A32,A40,1442,A61,A74,4,female,A101,4,A123,young,A143,A151,2,A173,1,A191,A201,2
A11,9,A34,A43,1138,A61,A73,4,male,A101,4,A121,adult,A143,A152,2,A172,1,A191,A201,1
A14,30,A34,A43,5771,A61,A74,4,female,A101,2,A123,adult,A143,A152,2,A173,1,A191,A201,1
A11,18,A32,A43,2600,A61,A73,4,male,A101,4,A124,adult,A143,A153,2,A173,1,A191,A201,2
A13,24,A32,A42,3749,A61,A72,2,female,A101,4,A123,adult,A143,A152,1,A173,1,A191,A201,1
A14,12,A32,A43,3059,A64,A74,2,male,A101,4,A121,adult,A143,A152,1,A172,1,A191,A201,1
A11,6,A32,A40,662,A61,A72,3,male,A101,4,A121,adult,A143,A152,1,A172,2,A192,A201,1
A11,18,A31,A43,1940,A61,A72,3,male,A102,4,A124,adult,A141,A153,1,A174,1,A192,A201,1
A12,36,A32,A43,2323,A61,A74,4,male,A101,4,A123,young,A143,A151,1,A173,1,A191,A201,1
A12,48,A30,A49,12204,A65,A73,2,male,A101,2,A123,adult,A141,A152,1,A174,1,A192,A201,1
A14,24,A34,A45,5507,A61,A75,3,male,A101,4,A124,adult,A143,A153,2,A173,1,A191,A201,1
A14,18,A32,A43,433,A61,A71,3,female,A102,4,A121,young,A143,A151,1,A173,1,A191,A201,2
A14,6,A32,A42,4611,A61,A72,1,female,A101,4,A122,adult,A143,A152,1,A173,1,A191,A201,2
A12,12,A32,A42,2762,A65,A75,1,female,A101,2,A122,adult,A141,A152,1,A173,1,A192,A201,2
A14,30,A33,A49,4272,A62,A73,2,male,A101,2,A122,adult,A143,A152,2,A172,1,A191,A201,1
A12,39,A33,A46,11760,A62,A74,2,male,A101,3,A124,adult,A143,A151,1,A173,1,A192,A201,1
A12,36,A33,A40,2225,A61,A75,4,male,A101,4,A124,adult,A141,A153,2,A173,1,A192,A201,2
A13,12,A32,A42,1474,A61,A72,4,female,A101,1,A122,adult,A141,A152,1,A174,1,A192,A201,1
A14,12,A34,A42,1402,A63,A74,3,female,A101,4,A123,adult,A143,A151,1,A173,1,A192,A201,1
A12,18,A32,A49,1913,A64,A72,3,male,A101,3,A121,adult,A141,A152,1,A173,1,A192,A201,1
A14,14,A33,A40,802,A61,A73,4,male,A101,2,A123,adult,A143,A152,2,A172,1,A191,A201,1
A13,15,A34,A43,1271,A65,A73,3,male,A101,4,A124,adult,A143,A153,2,A173,1,A192,A201,2
A13,24,A32,A43,1258,A63,A73,3,female,A101,3,A123,adult,A143,A152,1,A172,1,A191,A201,1
A14,12,A34,A46,3565,A65,A72,2,male,A101,1,A122,adult,A143,A152,2,A172,2,A191,A201,1
A11,12,A32,A41,3386,A61,A75,3,male,A101,4,A124,adult,A143,A153,1,A173,1,A192,A201,2
A13,12,A33,A40,2247,A61,A73,2,female,A101,2,A123,adult,A142,A152,2,A173,1,A192,A201,1
A14,24,A34,A41,5804,A64,A73,4,male,A101,2,A121,adult,A143,A152,2,A173,1,A191,A201,1
A14,15,A33,A42,960,A64,A74,3,female,A101,2,A122,adult,A143,A152,2,A173,1,A191,A201,1
A12,18,A34,A40,1056,A61,A75,3,male,A103,3,A121,adult,A141,A152,2,A173,1,A191,A201,2
A13,42,A30,A49,6289,A61,A72,2,male,A101,1,A122,adult,A143,A152,2,A173,1,A191,A201,1
A14,9,A32,A43,2753,A62,A75,3,male,A102,4,A123,adult,A143,A152,1,A173,1,A192,A201,1
A14,10,A32,A42,2210,A61,A73,2,male,A101,2,A121,adult,A141,A151,1,A172,1,A191,A201,2
A11,48,A32,A41,10297,A61,A74,4,male,A101,4,A124,adult,A142,A153,3,A173,2,A192,A201,2
A12,36,A32,A40,14318,A61,A75,4,male,A101,2,A124,adult,A143,A153,1,A174,1,A192,A201,2
A12,30,A34,A40,4249,A61,A71,4,male,A101,2,A123,adult,A143,A152,2,A174,1,A191,A201,2
A14,24,A32,A42,929,A65,A74,4,male,A101,2,A123,adult,A142,A152,1,A173,1,A192,A201,1
A12,9,A32,A42,959,A61,A73,1,female,A101,2,A123,adult,A143,A152,1,A173,1,A191,A202,2
A14,21,A32,A40,2782,A63,A74,1,female,A101,2,A123,adult,A141,A152,1,A174,1,A191,A201,1
A12,48,A30,A40,8358,A63,A72,1,female,A101,1,A123,adult,A143,A152,2,A173,1,A191,A201,1
A14,9,A32,A42,2301,A62,A72,2,female,A101,4,A122,young,A143,A151,1,A173,1,A191,A201,1
A12,48,A31,A49,3566,A62,A74,4,male,A101,2,A123,adult,A143,A152,1,A173,1,A191,A201,1
A11,18,A34,A40,3966,A61,A75,1,female,A101,4,A121,adult,A141,A151,3,A173,1,A192,A201,2
A14,6,A34,A43,1237,A62,A73,1,female,A101,1,A122,adult,A143,A152,2,A173,1,A191,A201,1
A11,18,A32,A40,976,A61,A72,1,female,A101,2,A123,young,A143,A152,1,A172,1,A191,A201,2
A11,24,A32,A40,915,A65,A75,4,female,A101,2,A123,adult,A141,A152,1,A173,1,A191,A201,2
A13,24,A32,A40,947,A61,A74,4,male,A101,3,A124,adult,A141,A153,1,A173,2,A191,A201,2
A12,24,A34,A49,2825,A65,A74,4,male,A101,3,A124,adult,A143,A152,2,A173,2,A192,A201,1
A14,21,A34,A42,2288,A61,A72,4,female,A101,4,A122,young,A143,A152,1,A173,1,A192,A201,1
A14,10,A32,A41,2901,A65,A72,1,female,A101,4,A121,adult,A143,A151,1,A173,1,A191,A201,1
A12,45,A34,A41,4576,A62,A71,3,male,A101,4,A123,adult,A143,A152,1,A173,1,A191,A201,1
A14,48,A33,A43,7238,A65,A75,3,male,A101,3,A123,adult,A141,A152,2,A173,2,A191,A201,1
A11,36,A31,A42,2746,A61,A75,4,male,A101,4,A123,adult,A141,A152,1,A173,1,A191,A201,2
A12,24,A34,A43,1743,A61,A75,4,male,A101,2,A122,adult,A143,A152,2,A172,1,A191,A201,1
A11,9,A32,A43,1366,A61,A72,3,female,A101,4,A122,young,A143,A151,1,A173,1,A191,A201,2
A14,18,A32,A43,1505,A61,A73,4,male,A101,2,A124,adult,A143,A153,1,A174,1,A192,A201,1
A11,6,A32,A44,343,A61,A72,4,female,A101,1,A121,adult,A143,A152,1,A173,1,A191,A201,1
A14,24,A34,A43,2223,A62,A75,4,male,A101,4,A122,adult,A141,A152,2,A173,1,A191,A201,1
A14,12,A34,A40,1495,A61,A75,4,male,A101,1,A121,adult,A143,A152,2,A172,2,A191,A201,1
A13,15,A32,A43,2327,A61,A72,2,female,A101,3,A121,adult,A143,A152,1,A172,1,A191,A201,2
A11,45,A30,A49,11816,A61,A75,2,male,A101,4,A123,adult,A143,A151,2,A173,1,A191,A201,2
A12,12,A32,A43,1484,A65,A73,2,male,A101,1,A121,adult,A143,A152,1,A173,1,A192,A201,2
A14,36,A32,A46,9055,A65,A73,2,male,A101,4,A124,adult,A143,A153,1,A172,2,A192,A201,1
A14,12,A34,A43,1655,A61,A75,2,male,A101,4,A121,adult,A143,A152,2,A172,1,A192,A201,1
A14,18,A32,A43,1453,A61,A72,3,female,A101,1,A121,adult,A143,A152,1,A173,1,A191,A201,1
A11,12,A32,A40,1228,A61,A73,4,female,A101,2,A121,young,A143,A152,1,A172,1,A191,A201,2
A12,6,A34,A48,932,A65,A74,1,female,A101,3,A122,adult,A143,A152,2,A172,1,A191,A201,1
A12,36,A33,A40,8086,A62,A75,2,male,A101,4,A123,adult,A143,A152,4,A174,1,A192,A201,2
A14,6,A32,A43,1346,A62,A75,2,male,A101,4,A124,adult,A141,A153,1,A173,2,A192,A201,1
A12,36,A33,A40,2862,A62,A75,4,male,A101,3,A124,adult,A143,A153,1,A173,1,A191,A201,1
A11,24,A32,A40,3123,A61,A72,4,female,A101,1,A122,adult,A143,A152,1,A173,1,A191,A201,2
A12,60,A32,A40,7408,A62,A72,4,female,A101,2,A122,young,A143,A152,1,A174,1,A191,A201,2
A12,15,A31,A40,1264,A62,A73,2,male,A101,2,A122,adult,A143,A151,1,A173,1,A191,A201,2
A14,6,A34,A43,1554,A61,A74,1,female,A101,2,A123,young,A143,A151,2,A173,1,A192,A201,1
A12,21,A34,A49,3652,A61,A74,2,male,A101,3,A122,adult,A143,A152,2,A173,1,A191,A201,1
A11,48,A32,A40,3931,A61,A74,4,male,A101,4,A124,adult,A143,A153,1,A173,2,A191,A201,2
A11,6,A34,A40,1361,A61,A72,2,male,A101,4,A121,adult,A143,A152,1,A172,2,A191,A202,1
A11,6,A32,A40,1203,A62,A75,3,male,A101,2,A122,adult,A143,A152,1,A173,1,A192,A201,1
A14,12,A32,A40,3527,A65,A72,2,male,A101,3,A122,adult,A143,A152,1,A174,2,A192,A201,1
A14,36,A34,A40,7855,A61,A73,4,female,A101,2,A121,adult,A142,A152,2,A173,1,A192,A201,2
A11,21,A32,A43,3357,A64,A72,4,female,A101,2,A123,adult,A141,A152,1,A173,1,A191,A201,1
A13,18,A32,A43,2100,A61,A73,4,male,A102,2,A121,adult,A142,A152,1,A173,1,A191,A201,2
A14,18,A34,A43,1169,A65,A73,4,male,A101,3,A122,adult,A143,A152,2,A173,1,A192,A201,1
A14,36,A33,A41,8947,A65,A74,3,male,A101,2,A123,adult,A142,A152,1,A174,2,A192,A201,1
A11,18,A32,A43,1936,A65,A74,2,male,A101,4,A123,young,A143,A151,2,A172,1,A191,A201,1
A12,24,A32,A40,3512,A62,A74,2,male,A101,3,A123,adult,A141,A152,2,A173,1,A192,A201,1
A12,24,A33,A49,6967,A62,A74,4,male,A101,4,A123,adult,A143,A151,1,A174,1,A192,A201,1
A14,30,A32,A43,2333,A63,A75,4,male,A101,2,A123,adult,A141,A152,1,A174,1,A191,A201,1
A11,18,A32,A42,2039,A61,A73,1,female,A101,4,A121,young,A141,A151,1,A173,1,A191,A201,2
A11,36,A32,A40,9271,A61,A74,2,male,A101,1,A123,young,A143,A152,1,A173,1,A192,A201,2
A14,21,A32,A49,1572,A64,A75,4,female,A101,4,A121,adult,A141,A152,1,A172,1,A191,A201,1
A12,6,A32,A45,454,A61,A72,3,male,A101,1,A122,young,A143,A152,1,A172,1,A191,A201,1
A14,36,A34,A49,6304,A65,A75,4,male,A101,4,A121,adult,A143,A152,2,A173,1,A191,A201,1
A14,24,A34,A41,2197,A65,A74,4,male,A101,4,A123,adult,A143,A152,2,A173,2,A192,A201,1
A14,48,A34,A49,7629,A65,A75,4,male,A101,2,A123,adult,A141,A152,2,A174,2,A191,A201,1
A13,10,A32,A42,1275,A61,A72,4,female,A101,2,A122,young,A143,A152,1,A173,1,A191,A201,1
A11,48,A30,A42,7119,A61,A73,3,male,A101,4,A124,adult,A143,A153,2,A173,2,A191,A201,2
A12,24,A32,A41,12579,A61,A75,4,female,A101,2,A124,adult,A143,A153,1,A174,1,A192,A201,2
A12,18,A32,A41,2779,A61,A73,1,male,A101,3,A123,young,A143,A151,1,A173,1,A192,A201,1
A14,4,A34,A43,1503,A61,A74,2,male,A101,1,A121,adult,A143,A152,2,A172,2,A191,A201,1
A12,8,A32,A42,1237,A61,A73,3,female,A101,4,A121,young,A143,A152,1,A173,1,A191,A201,2
A14,48,A32,A49,3914,A65,A73,4,male,A101,2,A121,adult,A141,A152,1,A173,1,A191,A201,2
A14,24,A32,A42,3062,A63,A75,4,male,A101,3,A124,adult,A143,A151,1,A173,1,A192,A201,1
A12,36,A30,A49,1953,A61,A75,4,male,A101,4,A124,adult,A143,A153,1,A174,1,A192,A201,2
A12,30,A32,A42,3832,A61,A72,2,male,A101,1,A122,young,A143,A152,1,A173,1,A191,A201,1
A14,6,A32,A46,1538,A61,A72,1,female,A101,2,A124,adult,A143,A152,1,A173,1,A191,A201,1
A14,6,A32,A43,2108,A61,A74,2,male,A101,2,A121,adult,A143,A151,1,A173,1,A191,A201,1
A11,6,A32,A42,428,A61,A75,2,female,A101,1,A122,adult,A141,A152,1,A173,1,A192,A201,1
A12,36,A33,A49,4455,A61,A73,2,male,A101,2,A121,adult,A142,A152,2,A174,1,A192,A201,2
A13,21,A34,A46,2319,A61,A72,2,male,A101,1,A123,adult,A143,A151,1,A173,1,A191,A201,2
A14,12,A34,A40,1163,A63,A73,4,male,A101,4,A121,adult,A143,A152,1,A173,1,A192,A201,1
A14,9,A34,A46,936,A63,A75,4,male,A101,2,A123,adult,A143,A152,2,A173,1,A192,A201,1
A11,18,A32,A42,2473,A61,A71,4,male,A101,1,A123,adult,A143,A152,1,A171,1,A191,A201,2
A14,15,A31,A43,1569,A62,A75,4,male,A101,4,A123,adult,A141,A152,1,A172,2,A191,A201,1
A12,12,A32,A42,3017,A61,A72,3,female,A101,1,A121,adult,A143,A151,1,A174,1,A191,A201,1
A14,12,A34,A43,2331,A65,A75,1,male,A102,4,A121,adult,A143,A152,1,A173,1,A192,A201,1
